"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-02","Feb-2008","PC","Percentage","0","Units",,,6.83,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-03","Mar-2008","PC","Percentage","0","Units",,,6.96,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-04","Apr-2008","PC","Percentage","0","Units",,,6.96,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-05","May-2008","PC","Percentage","0","Units",,,6.99,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-06","Jun-2008","PC","Percentage","0","Units",,,6.98,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-07","Jul-2008","PC","Percentage","0","Units",,,7.13,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-08","Aug-2008","PC","Percentage","0","Units",,,7.56,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-09","Sep-2008","PC","Percentage","0","Units",,,8.25,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-10","Oct-2008","PC","Percentage","0","Units",,,8.73,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-11","Nov-2008","PC","Percentage","0","Units",,,8.46,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-12","Dec-2008","PC","Percentage","0","Units",,,8.8,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2009-01","Jan-2009","PC","Percentage","0","Units",,,9.98,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2009-02","Feb-2009","PC","Percentage","0","Units",,,10.09,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2009-03","Mar-2009","PC","Percentage","0","Units",,,10.58,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2009-04","Apr-2009","PC","Percentage","0","Units",,,10.12,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2009-05","May-2009","PC","Percentage","0","Units",,,10.13,,
